,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
596,0.874,0,1.80E-29,0.555483696,0.555483696,0.6822
597,0.873,0,9.80E-30,0.540490012,0.540490012,0.6695
598,0.872,0,5.31E-30,0.525541346,0.525541346,0.6567
599,0.871,0,2.87E-30,0.510654675,0.510654675,0.6439
600,0.87,0,1.54E-30,0.495846553,0.495846553,0.631
601,0.869,0,8.28E-31,0.48113307,0.48113307,0.6182
602,0.868,0,4.43E-31,0.466529823,0.466529823,0.6053
603,0.867,0,2.36E-31,0.452051881,0.452051881,0.5925
604,0.866,0,1.26E-31,0.437713759,0.437713759,0.5796
605,0.865,0,6.66E-32,0.423529391,0.423529391,0.5668
606,0.864,0,3.52E-32,0.409512102,0.409512102,0.554
607,0.863,0,1.85E-32,0.395674589,0.395674589,0.5411
608,0.862,0,9.75E-33,0.382028904,0.382028904,0.5284
609,0.861,0,5.10E-33,0.36858643,0.36858643,0.5157
610,0.86,0,2.67E-33,0.355357872,0.355357872,0.503
611,0.859,0,1.39E-33,0.342353243,0.342353243,0.4905
612,0.858,0,7.20E-34,0.329581857,0.329581857,0.4781
613,0.857,0,3.73E-34,0.317052319,0.317052319,0.4657
614,0.856,0,1.92E-34,0.30477252,0.30477252,0.4534
615,0.855,0,9.90E-35,0.292749641,0.292749641,0.4412
616,0.854,0,5.08E-35,0.280990147,0.280990147,0.4291
617,0.853,0,2.59E-35,0.269499794,0.269499794,0.417
618,0.852,0,1.32E-35,0.258283633,0.258283633,0.405
619,0.851,0,6.72E-36,0.247346017,0.247346017,0.393
620,0.85,0,3.41E-36,0.236690613,0.236690613,0.381
621,0.849,0,1.72E-36,0.22632041,0.22632041,0.3689
622,0.848,0,8.67E-37,0.216237737,0.216237737,0.3568
623,0.847,0,4.35E-37,0.206444277,0.206444277,0.3447
624,0.846,0,2.18E-37,0.19694108,0.19694108,0.3328
625,0.845,0,1.09E-37,0.187728591,0.187728591,0.321
626,0.844,0,5.41E-38,0.178806661,0.178806661,0.3094
627,0.843,0,2.68E-38,0.170174575,0.170174575,0.2979
628,0.842,0,1.33E-38,0.161831072,0.161831072,0.2867
629,0.841,0,6.55E-39,0.153774369,0.153774369,0.2757
630,0.84,0,3.22E-39,0.146002188,0.146002188,0.265
631,0.839,0,1.58E-39,0.13851178,0.13851178,0.2548
632,0.838,0,7.71E-40,0.131299952,0.131299952,0.245
633,0.837,0,3.75E-40,0.124363093,0.124363093,0.2354
634,0.836,0,1.82E-40,0.117697203,0.117697203,0.2261
635,0.835,0,8.83E-41,0.111297919,0.111297919,0.217
636,0.834,0,4.26E-41,0.105160544,0.105160544,0.2081
637,0.833,0,2.05E-41,0.099280074,0.099280074,0.1995
638,0.832,0,9.85E-42,0.093651225,0.093651225,0.1911
639,0.831,0,4.71E-42,0.088268461,0.088268461,0.183
